Bora Bora, French Polynesia
Machu Picchu, Peru
Santorini, Greece
The Amalfi Coast, Italy
The Amazon Rainforest, South America
The Angkor Wat, Cambodia
The Cliffs of Moher, Ireland
The Galapagos Islands, Ecuador
The Grand Canyon, United States
The Great Barrier Reef, Australia
The Great Wall of China
The Iguazu Falls, Argentina and Brazil
The Maldives
The Norwegian Fjords, Norway
The Plitvice Lakes, Croatia
The Sahara Desert, North Africa
The Serengeti, Tanzania
The Taj Mahal, India
The Victoria Falls, Zambia and Zimbabwe
The Yosemite National Park, United States
