portrait, swimming, Lady, Tall, Wide Hips, Square Face, Tan Skin, Black Hair, Green Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Fine Hair, Messy Beach Waves, full breasts, Dangle earrings, grape, metallic lipstick
portrait, shopping, Trailblazer, Short, Thin, Heart-Shaped Face, Fair Skin, Gray Hair, turquoise Eyes, Short Nose, Thick Lips, Receding Chin, Long Hair, Thick Hair, Side Bangs, firm breasts, Stud earrings, soft pink, cream lipstick
portrait, knitting, Baroness, Average Height, Thin, Diamond-Shaped Face, Olive Skin, Blonde Hair, Brown Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, French Braid, natural breasts, Faux gauge earrings, light pink, matte lipstick
portrait, reading by the fire, Seductress, Short, in shape, Round Face, Fair Skin, Strawberry Blonde Hair, Hazel Eyes, Straight Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Chignon, augmented breasts, Cuff earrings, grape, matte lipstick
portrait, shopping, Gal, Short, Lean, Heart-Shaped Face, Fair Skin, Brunette Hair, black Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Coarse Hair, Blunt Cut Bangs, natural breasts, Clip-on earrings, cream, cream lipstick
portrait, skiing, Goddess, Average Height, Firm, Triangular Face, Olive Skin, Light Brown Hair, jade Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Afro, augmented breasts, Hoop earrings, beige, metallic lipstick
portrait, cooking, Siren, Tall, Slim, Square Face, Tan Skin, Silver Hair, Brown Eyes with Green Flecks, Long Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Braided Updo, asymmetrical breasts, Clip-on earrings, peach, matte lipstick
portrait, camping, Phenom, Short, Skinny, Triangular Face, Tan Skin, Red Hair, Gray Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Sleek Straight Hair, full breasts, Drop earrings, black, metallic lipstick
portrait, making snow angels, Belle, Average Height, Fit, Triangular Face, Dark Skin, Strawberry Blonde Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Middle Part Bangs, perky breasts, Clip-on earrings, teal, metallic lipstick
portrait, paintball, Visionary, Average Height, Athletic, Oval Face, Tan Skin, Chestnut Hair, brown Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Straight Hair, Long Curly Hair, soft breasts, Clip-on earrings, pink, satin lipstick
portrait, shopping, Gal, Tall, Lean, Diamond-Shaped Face, Tan Skin, Chestnut Hair, green Eyes, Short Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Wavy Layered Bob, natural breasts, Huggie earrings, green, velvet lipstick
portrait, skiing, Babe, Tall, Slim, Round Face, Olive Skin, Strawberry Blonde Hair, Brown Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Straight Bob, small breasts, Clip-on earrings, hot pink, metallic lipstick
portrait, surfing, Artist, Average Height, Wide Hips, Heart-Shaped Face, Fair Skin, Honey Blonde Hair, light blue Eyes, Long Nose, Thick Lips, Receding Chin, Long Hair, Curly Hair, Wedding Updo, augmented breasts, Drop earrings, gloss, matte lipstick
portrait, sewing, Starlet, Short, Slim, Square Face, Olive Skin, Gray Hair, amethyst Eyes, Long Nose, Thin Lips, Receding Chin, Long Hair, Straight Hair, Braided Headband, round breasts, Drop earrings, hot pink, matte lipstick
portrait, sewing, Mistress, Short, in shape, Heart-Shaped Face, Dark Skin, White Hair, Amber Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Coarse Hair, Braided Half Up, asymmetrical breasts, Stud earrings, golden, velvet lipstick
portrait, traveling, Songstress, Short, Firm, Square Face, Tan Skin, Gray Hair, Hazel Eyes, Short Nose, Thin Lips, Sharp Chin, Long Hair, Coarse Hair, Top Knot, large breasts, Faux gauge earrings, teal, gloss lipstick
portrait, ice skating, Seductress, Tall, Lean, Heart-Shaped Face, Fair Skin, Silver Hair, Blue Eyes with Green Flecks, Narrow Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, High Bun, soft breasts, Hoop earrings, magenta, gloss lipstick
portrait, building a snowman, Lady, Tall, in shape, Diamond-Shaped Face, Olive Skin, Gray Hair, amethyst Eyes, Long Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Fringed Bangs, round breasts, Stud earrings, silver, metallic lipstick
portrait, hiking, Woman, Short, Narrow Hips, Round Face, Dark Skin, Brunette Hair, silver Eyes, Short Nose, Full Lips, Round Chin, Long Hair, Curly Hair, Sleek Bun, large breasts, Faux gauge earrings, coral, satin lipstick
portrait, woodworking, Woman, Average Height, Toned, Round Face, Fair Skin, White Hair, jade Eyes, [[Curved Nose]], Thin Lips, Receding Chin, Long Hair, Thick Hair, Long Curly Hair, large breasts, Faux gauge earrings, berry, velvet lipstick
portrait, paintball, Gal, Average Height, Firm, Diamond-Shaped Face, Olive Skin, Black Hair, grey Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Coarse Hair, Wavy Layered Bob, firm breasts, Clip-on earrings, burgundy, cream lipstick
portrait, horseback riding, Temptress, Tall, Thin, Round Face, Fair Skin, Red Hair, amethyst Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, small breasts, Dangle earrings, violet, gloss lipstick
portrait, rock collecting, Babe, Short, Wide Hips, Heart-Shaped Face, Olive Skin, Silver Hair, ruby Eyes, Short Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Triple Braided Crown, asymmetrical breasts, Cuff earrings, mauve, metallic lipstick
