portrait, A city where the buildings are made of clouds and the streets are made of mist, Vixen, Short, Lean, Oval Face, Fair Skin, Chestnut Hair, Hazel Eyes with Green Flecks, Straight Nose, Full Lips, Prominent Chin, Long Hair, Straight Hair, Bangs with Highlights, augmented breasts, Clip-on earrings, peach, cream lipstick, Graphic Design
portrait, A world where the sky is made of cotton candy and the ground is made of cookie dough, Enchantress, Average Height, in shape, Round Face, Dark Skin, Golden Blonde Hair, silver Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Long Hair, Curly Hair, Wavy Updo, round breasts, Clip-on earrings, peach, gloss lipstick, 3D Modeling
portrait, A world where the sky is made of cotton candy and the ground is made of cookie dough, Vixen, Tall, Lean, Diamond-Shaped Face, Olive Skin, White Hair, Amber Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Low Messy Bun, small breasts, Hoop earrings, burgundy, cream lipstick, fauvism oil painting
portrait, A desert where the sand is made of diamonds and the sun is made of fire, Siren, Average Height, Athletic, Square Face, Tan Skin, Honey Blonde Hair, blue Eyes, Long Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Twisted Bun, round breasts, Clip-on earrings, golden, metallic lipstick, Abstract Painting
portrait, A city where the buildings are made of clouds and the streets are made of mist, Vixen, Average Height, Toned, Square Face, Fair Skin, White Hair, Blue Eyes, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Bob with Bangs, augmented breasts, Drop earrings, magenta, gloss lipstick, tonalism oil painting
portrait, A landscape where the sky is made of fire and the ground is made of water, Trailblazer, Short, Narrow Hips, Diamond-Shaped Face, Tan Skin, Blonde Hair, amber Eyes, Short Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Side Bangs, firm breasts, Dangle earrings, hot pink, satin lipstick, vanguardism oil painting
portrait, A room where the walls, floor, and ceiling are made of melting wax, Heiress, Average Height, Skinny, Heart-Shaped Face, Tan Skin, Auburn Hair, grey Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Curly Hair, Braided Updo, asymmetrical breasts, Threader earrings, plum, satin lipstick, pointillism oil painting
portrait, A place where the stars are made of glass and the moon is made of cheese, Miss, Short, Lean, Oval Face, Olive Skin, Chestnut Hair, grey Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Fluffy Afro, soft breasts, Dangle earrings, cream, metallic lipstick, tenebrism oil painting
portrait, A city where the streets are made of water and the buildings are made of ice, Queen, Tall, Toned, Triangular Face, Fair Skin, Silver Hair, coral Eyes, Narrow Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Twisted Bun, large breasts, Drop earrings, shimmer, metallic lipstick, fauvism oil painting
portrait, A place where time doesn't exist and everything is frozen in a single moment, Madam, Short, Thin, Round Face, Olive Skin, Gray Hair, grey-blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Fishtail Braid, small breasts, Dangle earrings, rose, gloss lipstick, renaissance oil painting
portrait, A garden where the flowers are made of stone and the bees are made of metal, Empress, Average Height, Slim, Diamond-Shaped Face, Olive Skin, Silver Hair, purple Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Curled Updo, firm breasts, Faux gauge earrings, rose, stain lipstick, Digital Art
