Iridium, choker, Starlet, Tall, Slim, Diamond-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Straight Bob with Layers, augmented breasts, Threader earrings, red, velvet lipstick, Lavender Lace Bra and Panty Set 
Rhodium, friendship bracelet, Visionary, Tall, Lean, Square Face, Tan Skin, Strawberry Blonde Hair, yellow Eyes, Wide Nose, Thin Lips, Receding Chin, Long Hair, Fine Hair, Short Afro, soft breasts, Threader earrings, light pink, velvet lipstick, Red Mesh Chemise with Strappy Back Detail
Cadmium, bangle bracelet, Femme fatale, Average Height, Firm, Triangular Face, Dark Skin, Platinum Blonde Hair, jade Eyes, Wide Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Smooth Waves, large breasts, Drop earrings, hot pink, cream lipstick, Tan Faux Leather Slip Dress
Germanium, tennis bracelet, Seductress, Average Height, Wide Hips, Square Face, Fair Skin, Blonde Hair, amethyst Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Afro, small breasts, Huggie earrings, teal, velvet lipstick, Black Lace Bustier
Rhenium, slave bracelet, Siren, Tall, Thin, Square Face, Dark Skin, Auburn Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Thin Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Loose Curls, natural breasts, Threader earrings, orange, sheer lipstick, Turquoise Sheer Chemise with Cutouts
Palladium, locket necklace, Starlet, Tall, Lean, Heart-Shaped Face, Olive Skin, Silver Hair, light blue Eyes, Long Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Messy Top Knot, augmented breasts, Dangle earrings, brown, velvet lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Gallium, collar necklace, Starlet, Short, Athletic, Square Face, Dark Skin, Blonde Hair, Hazel Eyes with Green Flecks, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Low Ponytail, firm breasts, Stud earrings, green, cream lipstick, Silver Silk Bra and Panty Set with Garter Belt
Gold, cocktail brooch, Sensation, Tall, Slim, Diamond-Shaped Face, Dark Skin, Strawberry Blonde Hair, grey Eyes, [[Curved Nose]], Pouty Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Stacked Bob, firm breasts, Stud earrings, gloss, metallic lipstick, Red Lace Bra and Panty Set with Garter Belt
Germanium, anklet, Escort, Short, Slim, Diamond-Shaped Face, Dark Skin, Black Hair, Blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Fine Hair, Ballerina Bun, soft breasts, Threader earrings, gloss, matte lipstick, Brown Strappy Bodysuit
Beryllium, slave bracelet, Starlet, Average Height, Skinny, Oval Face, Olive Skin, Platinum Blonde Hair, amethyst Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Coarse Hair, Middle Part Bangs, soft breasts, Hoop earrings, pink, matte lipstick, Yellow Lace Halter Bralette and Thong Set
Beryllium, vintage brooch, Siren, Tall, Athletic, Round Face, Tan Skin, Gray Hair, ruby Eyes, Long Nose, Thin Lips, Prominent Chin, Long Hair, Fine Hair, Long Curled Updo, round breasts, Huggie earrings, silver, velvet lipstick, Yellow Lace Halter Bralette and Thong Set
Osmium, bib necklace, Artist, Tall, Firm, Heart-Shaped Face, Tan Skin, Gray Hair, yellow Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Four-Strand Braid, small breasts, Huggie earrings, golden, gloss lipstick, Green Satin Robe with Lace Trim
Platinum, ankle strap, Trailblazer, Short, in shape, Square Face, Dark Skin, White Hair, Blue Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Low Messy Bun, augmented breasts, Faux gauge earrings, grape, cream lipstick, White Satin and Lace Bra and Panty Set
Osmium, beaded necklace, Female Warrior, Short, Athletic, Square Face, Dark Skin, Chestnut Hair, ice blue Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Short Afro, large breasts, Drop earrings, gloss, sheer lipstick, White Sheer Teddy with Lace Trim
Rhenium, charm bracelet, Female Warrior, Short, Slim, Round Face, Dark Skin, Brunette Hair, Sapphire Eyes, Long Nose, Full Lips, Prominent Chin, Long Hair, Thick Hair, Twisted Bun, perky breasts, Threader earrings, hot pink, cream lipstick, Ivory Lace Teddy
Iridium, pearl necklace, Duchess, Short, Firm, Square Face, Dark Skin, Black Hair, turquoise Eyes, Narrow Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Viking Braid, augmented breasts, Cuff earrings, silver, metallic lipstick, Olive Green Mesh Garter Belt with Stockings
Palladium, choker, Charmer, Short, Thin, Oval Face, Fair Skin, Dark Brown Hair, Brown Eyes, [[Curved Nose]], Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Low Ponytail, saggy breasts, Clip-on earrings, terracotta, cream lipstick, Black Mesh Bodysuit with Embroidered Flowers
Iridium, pendant, Siren, Short, Firm, Square Face, Fair Skin, Red Hair, grey-blue Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Braided Crown, small breasts, Clip-on earrings, rose, cream lipstick, Maroon Satin and Lace Corset 
Ruthenium, cocktail brooch, Countess, Short, Slim, Diamond-Shaped Face, Dark Skin, Golden Blonde Hair, teal Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, High Messy Bun, round breasts, Drop earrings, grape, matte lipstick, Black Mesh Bodysuit with Embroidered Flowers
Germanium, pendant, Songstress, Short, Athletic, Oval Face, Dark Skin, Dark Brown Hair, grey Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Bob with Bangs, saggy breasts, Huggie earrings, nude, sheer lipstick, Green Silk Bralette and Panty Set
Rhodium, ankle strap, Enchantress, Tall, Skinny, Round Face, Tan Skin, Golden Blonde Hair, silver Eyes, Short Nose, Thick Lips, Prominent Chin, Long Hair, Curly Hair, Side-Swept Bangs, small breasts, Huggie earrings, burgundy, stain lipstick, Pink Floral Corset
